,title,author,data,heat,name
61,《脑洞大爆炸》主角以银河系为战场，捏碎千亿恒星吓屎各路文明 ... ...,一望无垠,2018-01-13,37,"食物链顶端的男人,脑洞大爆炸,全属性99999之上,脑洞,食物"
62,《乒乓天王》不科学啊,问心水箭,2017-12-27,181,"灌篮高手,乒乓,乒坛二十四年,乒乓天王,武道宗师"
63,把不同作品的世界观和人物强行弄成一个世界很毒,岸波·扎比子,2018-01-06,37,"动漫之王的养成方法,我在东瀛开出租,金书红颜录,疯狂游戏开发商,二次元王座,同萌会的一己之见"
64,大唐官，作者的性癖真是……,陆寄风,2018-01-12,62,大唐官
65,推书：《我在东瀛开出租》，作为一个司机就应该飙车！,阴天驾云走,2018-01-12,30,"的士速递,我在东瀛开出租"
66,最近奋斗在红楼实在是看不懂    感觉是被下了降头,差点儿被毒死,2018-01-07,27,盗天仙途
67,最近看了星战8，求星战穿越文,5639260,2018-01-10,44,"帝国军头的诞生,我，歼星舰娘，搞事过任务,穿梭世界的歼星舰,新原力"
68,你们读帝国的晨辉，都没有违和感吗？,Julietta,2017-12-12,266,"黑兽防御战,文娱救世主,奸雄天下"
69,请教龙空书虫一个问题,upon211,2018-01-13,6,"佣兵天下,仙路烟尘"
70,历史类的晋和元好像挺稀少的，求推几本看的爽的,猎炎者,2018-01-10,17,"铁火君王,勒胡马,中流击楫,重生宋末之山河动,上品寒士,活在乱世,扶风歌"
71,看了国家宝藏睡虎地秦简,颜音碎与旧时光,2017-12-21,233,"亲秦王扫六合,春秋战国时代的姓氏制度,荆楚帝国,战国时期的姓氏制度,秦吏,诗,商君书,谏逐客书,史记.张耳陈馀列传,铁血大秦,秦歌一曲,陈涉世家,史记,真秦始皇,春秋我为王,书,汤问,春秋战国的姓氏制度,寻秦记,秦王扫六合并非靠军国主义"
72,求助起点作家后台问题,周天觉主,2018-01-13,5,
73,总结下金古梁温黄笔下十大美女,云梦风,2018-01-12,97,超时空要塞：可曾记得爱
74,推书 - 干粮草,luciferth,2018-01-07,8,"超魔构筑师,杀神永生,战争天堂,机甲定制大师,悲惨世界,地狱电影院"
